year,Month,Day,Max (�F),Min (�F),max temp,Min (�C)
1885,1,27,49,42,9.4,5.6
1885,1,28,50,42,10,5.6
1885,1,29,52,39,11.1,3.9
1885,1,30,52,41,11.1,5
1885,1,31,46,41,7.8,5
1885,2,1,45,39,7.2,3.9
1885,2,2,44,38,6.7,3.3
1885,2,3,44,34,6.7,1.1
1885,2,4,40,37,4.4,2.8
1885,2,5,44,34,6.7,1.1
1885,2,6,48,35,8.9,1.7
1885,2,7,49,36,9.4,2.2
1885,2,8,49,37,9.4,2.8
1885,2,9,45,40,7.2,4.4
1885,2,10,49,37,9.4,2.8
1885,2,11,49,37,9.4,2.8
1885,2,12,49,42,9.4,5.6
1885,2,13,49,42,9.4,5.6
1885,2,14,45,39,7.2,3.9
1885,2,15,50,34,10,1.1
1885,2,16,42,34,5.6,1.1
1885,2,17,44,35,6.7,1.7
1885,2,18,43,35,6.1,1.7
1885,2,19,44,28,6.7,-2.2
1885,2,20,43,30,6.1,-1.1
1885,2,21,48,31,8.9,-0.6
