year,Month,Day,Max at 7h (�F),Min at 7h (�F),max temp,Min at 7h (�C)
1872,6,19,69,55,20.6,12.8
1872,6,20,68,53,20,11.7
1872,6,21,68,56,20,13.3
1872,6,22,68,49,20,9.4
1872,6,23,66,50,18.9,10
1872,6,24,62,55,16.7,12.8
1872,6,25,61,54,16.1,12.2
1872,6,26,62,50,16.7,10
1872,6,27,63,49,17.2,9.4
1872,6,28,64,50,17.8,10
1872,6,29,72,49,22.2,9.4
1872,6,30,64,52,17.8,11.1
1872,7,1,63,50,17.2,10
1872,7,2,70,51,21.1,10.6
1872,7,3,68,54,20,12.2
1872,7,4,70,57,21.1,13.9
1872,7,5,69,56,20.6,13.3
1872,7,6,80,54,26.7,12.2
1872,7,7,68,56,20,13.3
1872,7,8,67,50,19.4,10
1872,7,9,70,49,21.1,9.4
1872,7,10,68,55,20,12.8
1872,7,11,66,55,18.9,12.8
1872,7,12,68,56,20,13.3
1872,7,13,71,55,21.7,12.8
1872,7,14,74,57,23.3,13.9
1872,7,15,74,57,23.3,13.9
1872,7,16,73,55,22.8,12.8
1872,7,17,74,56,23.3,13.3
1872,7,18,72,56,22.2,13.3
1872,7,19,69,57,20.6,13.9
1872,7,20,69,58,20.6,14.4
1872,7,21,70,58,21.1,14.4
1872,7,22,71,58,21.7,14.4
1872,7,23,73,57,22.8,13.9
1872,7,24,75,57,23.9,13.9
1872,7,25,68,58,20,14.4
1872,7,26,68,59,20,15
1872,7,27,68,60,20,15.6
1872,7,28,68,59,20,15
1872,7,29,66,59,18.9,15
1872,7,30,72,58,22.2,14.4
1872,7,31,68,56,20,13.3
1872,8,1,67,53,19.4,11.7
1872,8,2,67,53,19.4,11.7
1872,8,3,67,54,19.4,12.2
1872,8,4,64,54,17.8,12.2
1872,8,5,67,56,19.4,13.3
1872,8,6,68,54,20,12.2
1872,8,7,66,55,18.9,12.8
1872,8,8,64,54,17.8,12.2
1872,8,9,65,55,18.3,12.8
1872,8,10,64,55,17.8,12.8
1872,8,11,63,52,17.2,11.1
1872,8,12,64,50,17.8,10
1872,8,13,69,49,20.6,9.4
1872,8,14,70,50,21.1,10
1872,8,15,67,54,19.4,12.2
1872,8,16,67,57,19.4,13.9
1872,8,17,67,60,19.4,15.6
1872,8,18,69,56,20.6,13.3
1872,8,19,71,60,21.7,15.6
1872,8,20,70,60,21.1,15.6
1872,8,21,70,59,21.1,15
1872,8,22,68,58,20,14.4
1872,8,23,70,54,21.1,12.2
1872,8,24,72,53,22.2,11.7
1872,8,25,68,54,20,12.2
1872,8,26,67,55,19.4,12.8
1872,8,27,71,52,21.7,11.1
1872,8,28,68,53,20,11.7
1872,8,29,67,57,19.4,13.9
1872,8,30,66,52,18.9,11.1
1872,8,31,65,53,18.3,11.7
1872,9,1,65,54,18.3,12.2
1872,9,2,68,57,20,13.9
1872,9,3,67,59,19.4,15
1872,9,4,68,59,20,15
1872,9,5,69,58,20.6,14.4
1872,9,6,63,57,17.2,13.9
1872,9,7,67,56,19.4,13.3
1872,9,8,66,55,18.9,12.8
1872,9,9,63,56,17.2,13.3
1872,9,10,64,54,17.8,12.2
1872,9,11,67,56,19.4,13.3
1872,9,12,68,61,20,16.1
1872,9,13,69,61,20.6,16.1
1872,9,14,67,60,19.4,15.6
1872,9,15,65,57,18.3,13.9
1872,9,16,66,54,18.9,12.2
1872,9,17,64,56,17.8,13.3
1872,9,18,62,51,16.7,10.6
1872,9,19,57,48,13.9,8.9
1872,9,20,58,44,14.4,6.7
1872,9,21,55,45,12.8,7.2
1872,9,22,55,42,12.8,5.6
1872,9,23,58,43,14.4,6.1
1872,9,24,57,46,13.9,7.8
1872,9,25,55,42,12.8,5.6
1872,9,26,59,43,15,6.1
1872,9,27,60,47,15.6,8.3
1872,9,28,61,50,16.1,10
1872,9,29,61,49,16.1,9.4
1872,9,30,60,48,15.6,8.9
1872,10,1,60,55,15.6,12.8
1872,10,2,58,50,14.4,10
1872,10,3,53,46,11.7,7.8
1872,10,4,52,41,11.1,5
1872,10,5,53,38,11.7,3.3
1872,10,6,58,45,14.4,7.2
1872,10,7,58,50,14.4,10
1872,10,8,58,45,14.4,7.2
1872,10,9,55,48,12.8,8.9
1872,10,10,55,44,12.8,6.7
1872,10,11,50,42,10,5.6
1872,10,12,52,41,11.1,5
1872,10,13,52,41,11.1,5
1872,10,14,52,39,11.1,3.9
1872,10,15,51,40,10.6,4.4
1872,10,16,49,40,9.4,4.4
1872,10,17,48,43,8.9,6.1
1872,10,18,52,43,11.1,6.1
1872,10,19,54,46,12.2,7.8
1872,10,20,52,41,11.1,5
1872,10,21,51,44,10.6,6.7
1872,10,22,50,39,10,3.9
1872,10,23,53,40,11.7,4.4
1872,10,24,52,42,11.1,5.6
1872,10,25,53,46,11.7,7.8
1872,10,26,56,45,13.3,7.2
1872,10,27,53,44,11.7,6.7
1872,10,28,55,44,12.8,6.7
1872,10,29,56,45,13.3,7.2
1872,10,30,53,49,11.7,9.4
1872,10,31,54,46,12.2,7.8
1872,11,1,52,47,11.1,8.3
1872,11,2,54,39,12.2,3.9
1872,11,3,53,44,11.7,6.7
1872,11,4,56,44,13.3,6.7
1872,11,5,57,51,13.9,10.6
1872,11,6,57,50,13.9,10
1872,11,7,55,47,12.8,8.3
1872,11,8,54,48,12.2,8.9
1872,11,9,52,44,11.1,6.7
1872,11,10,47,39,8.3,3.9
1872,11,11,46,38,7.8,3.3
1872,11,12,46,36,7.8,2.2
1872,11,13,44,35,6.7,1.7
1872,11,14,41,32,5,0
1872,11,15,46,33,7.8,0.6
1872,11,16,47,36,8.3,2.2
1872,11,17,49,40,9.4,4.4
1872,11,18,48,41,8.9,5
1872,11,19,52,41,11.1,5
1872,11,20,52,42,11.1,5.6
1872,11,21,48,41,8.9,5
1872,11,22,52,40,11.1,4.4
1872,11,23,50,45,10,7.2
1872,11,24,50,41,10,5
1872,11,25,53,37,11.7,2.8
1872,11,26,53,49,11.7,9.4
1872,11,27,51,45,10.6,7.2
1872,11,28,52,39,11.1,3.9
1872,11,29,52,38,11.1,3.3
1872,11,30,50,43,10,6.1
1872,12,1,49,42,9.4,5.6
1872,12,2,50,42,10,5.6
1872,12,3,46,40,7.8,4.4
1872,12,4,48,36,8.9,2.2
1872,12,5,52,35,11.1,1.7
1872,12,6,48,43,8.9,6.1
1872,12,7,49,46,9.4,7.8
1872,12,8,49,39,9.4,3.9
1872,12,9,48,37,8.9,2.8
1872,12,10,44,35,6.7,1.7
1872,12,11,42,35,5.6,1.7
1872,12,12,48,32,8.9,0
1872,12,13,47,33,8.3,0.6
1872,12,14,44,41,6.7,5
1872,12,15,52,38,11.1,3.3
1872,12,16,48,39,8.9,3.9
1872,12,17,47,42,8.3,5.6
1872,12,18,48,40,8.9,4.4
1872,12,19,48,34,8.9,1.1
1872,12,20,49,39,9.4,3.9
1872,12,21,52,45,11.1,7.2
1872,12,22,52,45,11.1,7.2
1872,12,23,52,49,11.1,9.4
1872,12,24,50,47,10,8.3
1872,12,25,49,45,9.4,7.2
1872,12,26,50,39,10,3.9
1872,12,27,50,47,10,8.3
1872,12,28,50,43,10,6.1
1872,12,29,48,39,8.9,3.9
1872,12,30,49,36,9.4,2.2
1872,12,31,48,40,8.9,4.4
1873,1,1,49,40,9.4,4.4
1873,1,2,48,40,8.9,4.4
1873,1,3,48,38,8.9,3.3
1873,1,4,48,39,8.9,3.9
1873,1,5,50,38,10,3.3
1873,1,6,50,40,10,4.4
1873,1,7,50,46,10,7.8
1873,1,8,49,44,9.4,6.7
1873,1,9,50,43,10,6.1
1873,1,10,50,45,10,7.2
1873,1,11,50,40,10,4.4
1873,1,12,52,40,11.1,4.4
1873,1,13,52,42,11.1,5.6
1873,1,14,51,48,10.6,8.9
1873,1,15,50,47,10,8.3
1873,1,16,46,40,7.8,4.4
1873,1,17,48,37,8.9,2.8
1873,1,18,49,38,9.4,3.3
1873,1,19,42,37,5.6,2.8
1873,1,20,39,30,3.9,-1.1
1873,1,21,44,31,6.7,-0.6
1873,1,22,45,35,7.2,1.7
1873,1,23,46,36,7.8,2.2
1873,1,24,45,36,7.2,2.2
1873,1,25,49,34,9.4,1.1
1873,1,26,49,44,9.4,6.7
1873,1,27,49,40,9.4,4.4
1873,1,28,50,41,10,5
1873,1,29,48,42,8.9,5.6
1873,1,30,43,36,6.1,2.2
1873,1,31,46,35,7.8,1.7
1873,2,1,44,40,6.7,4.4
1873,2,2,32,32,0,0
1873,2,3,35,26,1.7,-3.3
1873,2,4,42,28,5.6,-2.2
1873,2,5,43,31,6.1,-0.6
1873,2,6,42,34,5.6,1.1
1873,2,7,41,35,5,1.7
1873,2,8,42,34,5.6,1.1
1873,2,9,42,34,5.6,1.1
1873,2,10,44,36,6.7,2.2
1873,2,11,44,33,6.7,0.6
1873,2,12,45,34,7.2,1.1
1873,2,13,46,34,7.8,1.1
1873,2,14,46,40,7.8,4.4
1873,2,15,48,40,8.9,4.4
1873,2,16,49,40,9.4,4.4
1873,2,17,50,42,10,5.6
1873,2,18,50,42,10,5.6
1873,2,19,49,42,9.4,5.6
1873,2,20,49,41,9.4,5
1873,2,21,43,38,6.1,3.3
1873,2,22,45,36,7.2,2.2
1873,2,23,46,37,7.8,2.8
1873,2,24,45,29,7.2,-1.7
1873,2,25,48,30,8.9,-1.1
1873,2,26,48,43,8.9,6.1
1873,2,27,49,39,9.4,3.9
1873,2,28,49,34,9.4,1.1
1873,3,1,49,38,9.4,3.3
1873,3,2,50,39,10,3.9
1873,3,3,50,45,10,7.2
1873,3,4,50,45,10,7.2
1873,3,5,50,42,10,5.6
1873,3,6,48,40,8.9,4.4
1873,3,7,48,42,8.9,5.6
1873,3,8,50,38,10,3.3
1873,3,9,47,38,8.3,3.3
1873,3,10,46,35,7.8,1.7
1873,3,11,47,35,8.3,1.7
1873,3,12,46,36,7.8,2.2
1873,3,13,45,33,7.2,0.6
1873,3,14,44,33,6.7,0.6
1873,3,15,46,34,7.8,1.1
1873,3,16,43,36,6.1,2.2
1873,3,17,44,37,6.7,2.8
1873,3,18,48,38,8.9,3.3
1873,3,19,50,40,10,4.4
1873,3,20,44,35,6.7,1.7
1873,3,21,46,36,7.8,2.2
1873,3,22,46,34,7.8,1.1
1873,3,23,45,37,7.2,2.8
1873,3,24,50,39,10,3.9
1873,3,25,52,41,11.1,5
1873,3,26,54,46,12.2,7.8
1873,3,27,53,45,11.7,7.2
1873,3,28,52,46,11.1,7.8
1873,3,29,52,44,11.1,6.7
1873,3,30,50,45,10,7.2
1873,3,31,53,45,11.7,7.2
1873,4,1,53,41,11.7,5
1873,4,2,52,37,11.1,2.8
1873,4,3,54,44,12.2,6.7
1873,4,4,58,46,14.4,7.8
1873,4,5,57,47,13.9,8.3
1873,4,6,45,43,7.2,6.1
1873,4,7,51,39,10.6,3.9
1873,4,8,53,38,11.7,3.3
1873,4,9,54,40,12.2,4.4
1873,4,10,55,38,12.8,3.3
1873,4,11,55,37,12.8,2.8
1873,4,12,57,40,13.9,4.4
1873,4,13,54,46,12.2,7.8
1873,4,14,55,47,12.8,8.3
1873,4,15,58,47,14.4,8.3
1873,4,16,59,49,15,9.4
1873,4,17,59,50,15,10
1873,4,18,58,47,14.4,8.3
1873,4,19,62,48,16.7,8.9
1873,4,20,58,46,14.4,7.8
1873,4,21,65,44,18.3,6.7
1873,4,22,60,44,15.6,6.7
1873,4,23,64,43,17.8,6.1
1873,4,24,52,37,11.1,2.8
1873,4,25,53,36,11.7,2.2
1873,4,26,55,35,12.8,1.7
1873,4,27,56,42,13.3,5.6
1873,4,28,56,45,13.3,7.2
1873,4,29,57,47,13.9,8.3
1873,4,30,60,48,15.6,8.9
1873,5,1,63,48,17.2,8.9
1873,5,2,61,45,16.1,7.2
1873,5,3,62,48,16.7,8.9
1873,5,4,58,42,14.4,5.6
1873,5,5,54,45,12.2,7.2
1873,5,6,56,40,13.3,4.4
1873,5,7,54,46,12.2,7.8
1873,5,8,54,46,12.2,7.8
1873,5,9,58,43,14.4,6.1
1873,5,10,58,44,14.4,6.7
1873,5,11,62,49,16.7,9.4
1873,5,12,62,45,16.7,7.2
1873,5,13,62,48,16.7,8.9
1873,5,14,63,46,17.2,7.8
1873,5,15,65,47,18.3,8.3
1873,5,16,62,47,16.7,8.3
1873,5,17,61,48,16.1,8.9
1873,5,18,53,45,11.7,7.2
1873,5,19,59,37,15,2.8
1873,5,20,55,42,12.8,5.6
1873,5,21,63,50,17.2,10
1873,5,22,64,50,17.8,10
1873,5,23,64,52,17.8,11.1
1873,5,24,62,47,16.7,8.3
1873,5,25,60,48,15.6,8.9
1873,5,26,60,49,15.6,9.4
1873,5,27,61,48,16.1,8.9
1873,5,28,67,49,19.4,9.4
1873,5,29,68,50,20,10
1873,5,30,68,48,20,8.9
1873,5,31,69,53,20.6,11.7
1873,6,1,71,55,21.7,12.8
1873,6,2,72,48,22.2,8.9
1873,6,3,69,51,20.6,10.6
1873,6,4,68,52,20,11.1
1873,6,5,71,53,21.7,11.7
1873,6,6,70,53,21.1,11.7
1873,6,7,73,52,22.8,11.1
1873,6,8,70,53,21.1,11.7
1873,6,9,64,53,17.8,11.7
1873,6,10,63,52,17.2,11.1
1873,6,11,62,48,16.7,8.9
1873,6,12,62,47,16.7,8.3
1873,6,13,65,47,18.3,8.3
1873,6,14,64,53,17.8,11.7
1873,6,15,63,50,17.2,10
1873,6,16,70,50,21.1,10
1873,6,17,68,56,20,13.3
1873,6,18,68,53,20,11.7
1873,6,19,68,55,20,12.8
1873,6,20,67,52,19.4,11.1
1873,6,21,67,57,19.4,13.9
1873,6,22,67,58,19.4,14.4
1873,6,23,64,51,17.8,10.6
1873,6,24,67,56,19.4,13.3
1873,6,25,64,55,17.8,12.8
1873,6,26,68,54,20,12.2
1873,6,27,65,56,18.3,13.3
1873,6,28,64,55,17.8,12.8
1873,6,29,63,53,17.2,11.7
1873,6,30,68,53,20,11.7
1873,7,1,67,53,19.4,11.7
1873,7,2,64,52,17.8,11.1
1873,7,3,66,55,18.9,12.8
1873,7,4,68,50,20,10
1873,7,5,66,52,18.9,11.1
1873,7,6,66,50,18.9,10
1873,7,7,62,55,16.7,12.8
1873,7,8,70,54,21.1,12.2
1873,7,9,66,55,18.9,12.8
1873,7,10,63,54,17.2,12.2
1873,7,11,66,53,18.9,11.7
1873,7,12,65,52,18.3,11.1
1873,7,13,64,49,17.8,9.4
1873,7,14,62,48,16.7,8.9
1873,7,15,65,51,18.3,10.6
1873,7,16,67,48,19.4,8.9
1873,7,17,68,53,20,11.7
1873,7,18,64,56,17.8,13.3
1873,7,19,67,52,19.4,11.1
1873,7,20,68,56,20,13.3
1873,7,21,74,59,23.3,15
1873,7,22,70,59,21.1,15
1873,7,23,73,54,22.8,12.2
1873,7,24,68,59,20,15
1873,7,25,69,55,20.6,12.8
1873,7,26,66,55,18.9,12.8
1873,7,27,64,53,17.8,11.7
1873,7,28,67,55,19.4,12.8
1873,7,29,68,56,20,13.3
1873,7,30,68,58,20,14.4
1873,7,31,70,56,21.1,13.3
1873,8,1,68,53,20,11.7
1873,8,2,68,55,20,12.8
1873,8,3,73,55,22.8,12.8
1873,8,4,67,56,19.4,13.3
1873,8,5,69,56,20.6,13.3
1873,8,6,74,58,23.3,14.4
1873,8,7,74,60,23.3,15.6
1873,8,8,63,58,17.2,14.4
1873,8,9,64,51,17.8,10.6
1873,8,10,64,54,17.8,12.2
1873,8,11,67,54,19.4,12.2
1873,8,12,68,55,20,12.8
1873,8,13,65,55,18.3,12.8
1873,8,14,73,53,22.8,11.7
1873,8,15,71,55,21.7,12.8
1873,8,16,67,55,19.4,12.8
1873,8,17,59,51,15,10.6
1873,8,18,63,51,17.2,10.6
1873,8,19,63,51,17.2,10.6
1873,8,20,64,54,17.8,12.2
1873,8,21,65,52,18.3,11.1
1873,8,22,67,53,19.4,11.7
1873,8,23,63,64,17.2,17.8
1873,8,24,64,53,17.8,11.7
1873,8,25,66,53,18.9,11.7
1873,8,26,66,54,18.9,12.2
1873,8,27,65,54,18.3,12.2
1873,8,28,62,54,16.7,12.2
1873,8,29,62,49,16.7,9.4
1873,8,30,66,52,18.9,11.1
1873,8,31,63,56,17.2,13.3
1873,9,1,63,53,17.2,11.7
1873,9,2,60,52,15.6,11.1
1873,9,3,59,47,15,8.3
1873,9,4,60,48,15.6,8.9
1873,9,5,59,50,15,10
1873,9,6,58,50,14.4,10
1873,9,7,60,50,15.6,10
1873,9,8,62,49,16.7,9.4
1873,9,9,62,53,16.7,11.7
1873,9,10,61,53,16.1,11.7
1873,9,11,59,49,15,9.4
1873,9,12,61,48,16.1,8.9
1873,9,13,61,50,16.1,10
1873,9,14,57,48,13.9,8.9
1873,9,15,59,47,15,8.3
1873,9,16,60,50,15.6,10
1873,9,17,64,51,17.8,10.6
1873,9,18,60,49,15.6,9.4
1873,9,19,60,50,15.6,10
1873,9,20,61,56,16.1,13.3
1873,9,21,59,52,15,11.1
1873,9,22,60,43,15.6,6.1
1873,9,23,60,48,15.6,8.9
1873,9,24,61,50,16.1,10
1873,9,25,62,51,16.7,10.6
1873,9,26,63,55,17.2,12.8
1873,9,27,64,53,17.8,11.7
1873,9,28,58,48,14.4,8.9
1873,9,29,58,42,14.4,5.6
1873,9,30,60,46,15.6,7.8
1873,10,1,61,56,16.1,13.3
1873,10,2,61,58,16.1,14.4
1873,10,3,62,57,16.7,13.9
1873,10,4,59,54,15,12.2
1873,10,5,61,45,16.1,7.2
1873,10,6,58,53,14.4,11.7
1873,10,7,54,45,12.2,7.2
1873,10,8,53,42,11.7,5.6
1873,10,9,60,43,15.6,6.1
1873,10,10,61,52,16.1,11.1
1873,10,11,54,51,12.2,10.6
1873,10,12,55,44,12.8,6.7
1873,10,13,52,45,11.1,7.2
1873,10,14,50,41,10,5
1873,10,15,54,38,12.2,3.3
1873,10,16,55,43,12.8,6.1
1873,10,17,57,50,13.9,10
1873,10,18,57,50,13.9,10
1873,10,19,55,45,12.8,7.2
1873,10,20,52,47,11.1,8.3
1873,10,21,57,44,13.9,6.7
1873,10,22,53,48,11.7,8.9
1873,10,23,47,38,8.3,3.3
1873,10,24,49,38,9.4,3.3
1873,10,25,49,39,9.4,3.9
1873,10,26,48,37,8.9,2.8
1873,10,27,48,38,8.9,3.3
1873,10,28,51,37,10.6,2.8
1873,10,29,55,39,12.8,3.9
1873,10,30,49,45,9.4,7.2
1873,10,31,54,40,12.2,4.4
1873,11,1,45,38,7.2,3.3
1873,11,2,45,36,7.2,2.2
1873,11,3,48,37,8.9,2.8
1873,11,4,50,38,10,3.3
1873,11,5,50,44,10,6.7
1873,11,6,50,44,10,6.7
1873,11,7,47,42,8.3,5.6
1873,11,8,46,42,7.8,5.6
1873,11,9,48,40,8.9,4.4
1873,11,10,51,42,10.6,5.6
1873,11,11,52,44,11.1,6.7
1873,11,12,46,38,7.8,3.3
1873,11,13,50,41,10,5
1873,11,14,50,42,10,5.6
1873,11,15,49,45,9.4,7.2
1873,11,16,49,40,9.4,4.4
1873,11,17,48,43,8.9,6.1
1873,11,18,49,43,9.4,6.1
1873,11,19,49,42,9.4,5.6
1873,11,20,49,43,9.4,6.1
1873,11,21,55,38,12.8,3.3
1873,11,22,57,42,13.9,5.6
1873,11,23,58,49,14.4,9.4
1873,11,24,52,46,11.1,7.8
1873,11,25,56,47,13.3,8.3
1873,11,26,54,50,12.2,10
1873,11,27,54,43,12.2,6.1
1873,11,28,57,44,13.9,6.7
1873,11,29,54,44,12.2,6.7
1873,11,30,52,44,11.1,6.7
1873,12,1,54,45,12.2,7.2
1873,12,2,54,50,12.2,10
1873,12,3,51,49,10.6,9.4
1873,12,4,50,48,10,8.9
1873,12,5,52,48,11.1,8.9
1873,12,6,51,48,10.6,8.9
1873,12,7,52,47,11.1,8.3
1873,12,8,52,49,11.1,9.4
1873,12,9,51,47,10.6,8.3
1873,12,10,48,36,8.9,2.2
1873,12,11,50,39,10,3.9
1873,12,12,49,45,9.4,7.2
1873,12,13,49,44,9.4,6.7
1873,12,14,51,43,10.6,6.1
1873,12,15,55,47,12.8,8.3
1873,12,16,58,48,14.4,8.9
1873,12,17,58,50,14.4,10
1873,12,18,54,49,12.2,9.4
1873,12,19,53,49,11.7,9.4
1873,12,20,52,40,11.1,4.4
1873,12,21,52,42,11.1,5.6
1873,12,22,52,42,11.1,5.6
1873,12,23,53,40,11.7,4.4
1873,12,24,54,44,12.2,6.7
1873,12,25,51,44,10.6,6.7
1873,12,26,52,47,11.1,8.3
1873,12,27,44,35,6.7,1.7
1873,12,28,48,32,8.9,0
1873,12,29,50,36,10,2.2
1873,12,30,50,47,10,8.3
1873,12,31,48,42,8.9,5.6
1874,1,1,52,40,11.1,4.4
1874,1,2,48,44,8.9,6.7
1874,1,3,43,37,6.1,2.8
1874,1,4,41,34,5,1.1
1874,1,5,43,35,6.1,1.7
1874,1,6,49,34,9.4,1.1
1874,1,7,50,40,10,4.4
1874,1,8,50,48,10,8.9
1874,1,9,48,38,8.9,3.3
1874,1,10,45,37,7.2,2.8
1874,1,11,50,36,10,2.2
1874,1,12,48,46,8.9,7.8
1874,1,13,52,42,11.1,5.6
1874,1,14,52,45,11.1,7.2
1874,1,15,51,46,10.6,7.8
1874,1,16,43,39,6.1,3.9
1874,1,17,52,34,11.1,1.1
1874,1,18,55,36,12.8,2.2
